group_id,timeslot_id,subject_id,teacher_id,room_id
G1,1,31901-2009,T05,R6205
G1,2,31901-2009,T05,R5204
G1,3,31901-2017,T07,R6204
G1,4,31901-2017,T07,R5204
G1,6,30001-1001,T09,R10401
G1,7,31901-2006,T03,R6403
G1,8,30000-1202,T06,R5105
G1,9,31901-2013,T08,R6204
G1,10,31901-2017,T07,R5306
G1,13,30000-1202,T06,R5401
G1,14,31901-2010,T04,R6205
G1,15,30001-1001,T09,R6205
G1,16,30000-1501,T02,R6201
G1,18,31901-2017,T07,R6203
G1,19,31901-2009,T04,R6405
G1,20,30000-1501,T02,R6302
G1,21,31901-2017,T07,R5101
G1,22,31901-2010,T04,R5402
G1,25,31901-2006,T03,R6402
G1,26,31901-2002,T01,R6303
G1,28,31901-2017,T07,R6301
G1,30,31901-2010,T04,R6303
G1,31,31901-2002,T01,R6205
G1,32,31901-2002,T01,R5306
G1,33,30000-2004,T08,R5201
G1,34,31901-2006,T03,R5201
G1,37,31901-2009,T04,R5401
G1,38,31901-2006,T03,R5401
G1,39,30001-1001,T09,Rท่าลี่อ
G1,40,31901-2002,T01,R6303
G1,42,31901-2002,T01,R5401
G1,43,31901-2006,T03,R6205
G1,44,31901-2013,T08,R6203
G1,46,30000-1501,T02,R6404
G1,49,30000-2004,T08,R6203
G1,50,31901-2013,T08,R6201
G1,51,31901-2013,T08,R6405
G1,54,31901-2010,T04,R5401
G1,55,31901-2010,T04,R5306
G1,56,31901-2009,T04,R6201
G1,57,31901-2013,T08,R6402
G1,58,30001-1001,T09,R6301
G2,1,31901-2017,T07,R6301
G2,3,31901-2009,T04,R5201
G2,4,31901-2013,T08,R5101
G2,6,31901-2017,T07,R6205
G2,7,31901-2002,T01,R5401
G2,8,30000-2004,T07,R5402
G2,9,31901-2006,T03,R5401
G2,10,31901-2009,T04,R5201
G2,13,30000-2004,T07,R6204
G2,14,30001-1001,T09,R6405
G2,15,31901-2017,T07,R6404
G2,16,31901-2002,T01,R6403
G2,19,31901-2006,T03,R6404
G2,20,30001-1001,T09,R5204
G2,21,31901-2002,T01,R5203
G2,25,31901-2009,T04,R5406
G2,26,30000-1501,T02,R6205
