group_id,timeslot_id,subject_id,teacher_id,room_id
G1,10,31901-2017,T07,R6203
G1,13,30000-1202,T06,R5203
G1,14,30000-1501,T02,R5105
G1,15,30000-1501,T02,R6405
G1,18,31901-2002,T01,R5401
G1,19,30001-1001,T09,R6402
G1,2,31901-2017,T07,R5101
G1,20,30001-1001,T09,R6402
G1,21,30001-1001,T09,R6402
G1,22,30000-1202,T06,R6404
G1,25,30000-1501,T02,R5306
G1,26,31901-2017,T07,R6402
G1,27,31901-2006,T03,R5306
G1,28,31901-2006,T03,R5306
G1,3,30000-2004,T07,R5406
G1,30,31901-2002,T01,R6205
G1,31,31901-2006,T03,R5201
G1,32,31901-2006,T03,R5201
G1,33,31901-2006,T03,R5201
G1,34,31901-2013,T08,R6203
G1,37,31901-2013,T08,R5401
G1,38,31901-2013,T08,R5401
G1,39,31901-2013,T08,R5401
G1,4,30000-2004,T07,R5406
G1,40,31901-2013,T08,R5401
G1,42,31901-2009,T05,R5306
G1,43,31901-2009,T05,R5306
G1,44,31901-2009,T05,R5306
G1,45,31901-2009,T05,R5306
G1,46,31901-2009,T05,R5306
G1,49,31901-2002,T01,R6301
G1,50,31901-2002,T01,R5204
G1,51,31901-2010,T04,R6405
G1,52,31901-2010,T04,R6405
G1,55,30001-1001,T09,R6405
G1,56,31901-2017,T07,R5203
G1,57,31901-2017,T07,R6302
G1,58,31901-2017,T07,R6302
G1,7,31901-2010,T04,R6203
G1,8,31901-2010,T04,R6203
G1,9,31901-2010,T04,R6203
G2,10,31901-2006,T03,R5204
G2,13,31901-2002,T01,R6204
G2,14,31901-2002,T01,R6204
G2,15,31901-2002,T01,R6204
G2,16,31901-2006,T03,R5105
G2,2,30001-1001,T09,R5204
G2,20,31901-2013,T08,R5406
G2,22,31901-2006,T03,R6402
G2,25,31901-2009,T04,R5402
G2,26,31901-2009,T04,R5402
G2,27,31901-2009,T04,R5402
G2,28,31901-2009,T04,R5402
G2,3,30001-1001,T09,R5204
G2,31,31901-2002,T01,R5406
G2,32,31901-2002,T01,R5402
G2,33,30001-1001,T09,R6404
G2,34,30000-2004,T07,R6404
G2,39,31901-2009,T05,R6204
G2,39,30000-1202,T06,R5201
G2,4,30001-1001,T09,R5204
G2,40,30000-1202,T06,R5201
G2,42,31901-2017,T07,R6203
G2,43,31901-2013,T08,R5105
G2,44,31901-2013,T08,R5105
G2,45,31901-2013,T08,R5105
G2,46,31901-2013,T08,R5105
G2,51,30000-2004,T08,R6203
G2,54,31901-2017,T07,R6204
G2,55,31901-2017,T07,R5203
G2,56,31901-2006,T03,R6303
G2,57,31901-2006,T03,R6303
G2,6,30000-1501,T02,R5204
G2,7,30000-1501,T02,R5204
G2,8,30000-1501,T02,R5204
G3,13,31901-2005,T08,R6403
G3,14,31901-2005,T08,R6403
G3,15,31901-2005,T08,R6403
G3,18,30000-1404,T11,R5306
G3,19,30000-1404,T11,R5306
G3,2,30000-1201,T10,R5201
G3,20,30000-1404,T11,R5306
G3,21,31901-2012,T04,R5204
G3,25,31901-2005,T03,R10401
G3,26,30001-1002,T12,R6201
G3,27,30001-1002,T12,R6201
G3,28,30001-1002,T12,R6201
G3,3,30000-1201,T10,R5201
G3,30,30000-1201,T10,R5402
G3,32,30000-2002,T13,R5203
G3,33,30000-2002,T13,R5203
G3,37,30001-1003,T07,R6303
G3,38,30001-1003,T07,R6303
G3,39,30001-1003,T07,R6303
G3,4,31901-2005,T03,R6402
G3,40,30001-1003,T07,R6303
G3,42,31901-2012,T04,R5401
G3,43,31901-2012,T04,R5204
G3,44,31901-2012,T04,R6203
G3,45,31901-2012,T04,R6203
G3,46,31901-2007,T01,R6403
G3,6,31901-2007,T01,R5201
G3,7,31901-2007,T01,R5201
G3,8,31901-2007,T01,R5201
G3,9,31901-2007,T01,R5201
G4,14,30000-1201,T10,R5306
G4,15,31901-2012,T07,R5101
G4,16,31901-2012,T07,R5101
G4,19,30000-2002,T13,R5401
G4,2,30001-1002,T12,R6205
G4,20,30000-2002,T13,R5401
G4,22,31901-2012,T07,R5203
G4,27,31901-2005,T08,R6302
G4,28,31901-2007,T01,R5204
G4,3,30001-1002,T12,R6205
G4,30,30001-1003,T07,R6302
G4,31,30001-1003,T07,R6302
G4,32,30001-1003,T07,R6302
G4,33,30001-1003,T07,R6302
G4,38,31901-2007,T01,R6205
G4,39,31901-2005,T03,R6205
G4,4,30001-1002,T12,R6205
G4,40,31901-2005,T03,R6205
G4,45,31901-2005,T03,R5402
G4,46,31901-2005,T03,R5402
G4,49,30000-1404,T11,R5101
G4,50,30000-1404,T11,R5101
G4,51,30000-1404,T11,R5101
G4,52,30000-1201,T10,R6301
G4,55,31901-2007,T01,R6404
G4,56,31901-2007,T01,R6404
G4,57,31901-2007,T01,R6404
G4,58,30000-1201,T10,R6203
G4,7,31901-2012,T07,R5401
G4,8,31901-2012,T07,R5401
G5,1,31900-0004,T01,Rท่าลี่อ
G5,10,31901-2012,T04,R5105
G5,14,30000-1404,T11,R10401
G5,15,30000-1404,T11,R5306
G5,16,30000-1404,T11,R5306
G5,18,31901-2012,T07,R5201
G5,19,31901-2012,T07,R5201
G5,2,31900-0004,T01,R6404
G5,20,31901-2012,T07,R5201
G5,21,31901-2012,T07,R5201
G5,22,31900-0004,T01,R6301
G5,25,31900-0004,T01,R6405
G5,26,30000-2002,T01,R6404
G5,27,30000-2002,T01,R6404
G5,3,31901-2005,T08,R6203
G5,30,30001-1002,T12,R6203
G5,31,30001-1002,T12,R6203
G5,32,30001-1002,T12,R6203
G5,34,31900-1002,T04,R5203
G5,37,31900-0004,T01,R5203
G5,4,31901-2005,T08,R6203
G5,43,30000-1201,T10,R6405
G5,44,30000-1201,T10,R6405
G5,45,30000-1201,T10,R6405
G5,46,31900-1002,T04,R5203
G5,49,31900-0001,T07,R6303
G5,50,31900-0001,T07,R6303
G5,51,31900-0001,T07,R6303
G5,52,31900-0001,T07,R6303
G5,57,31900-1002,T04,R6405
G5,6,31901-2005,T03,R6204
G5,6,31900-0001,T07,R6205
G5,7,31901-2005,T03,R6204
G5,8,31901-2005,T03,R6204
G5,9,31900-1001,T07,R6302
G6,10,20901-2106,T05,R5203
G6,18,20901-2007,T18,R6405
G6,19,20901-2007,T18,R6405
G6,30,20901-2009,T08,R5101
G6,31,20901-2009,T08,R5101
G6,40,20901-2106,T05,R6403
G6,42,20001-1003,T15,R6205
G6,43,20001-1003,T15,R6205
G6,44,20001-1003,T15,R6205
G6,50,20901-2107,T13,R5201
G6,51,20901-2107,T13,R5201
G6,52,20901-2107,T13,R5201
G6,58,20901-2009,T08,R5101
G6,6,20901-8503,T18,R5203
G6,7,20901-8503,T18,R5203
G6,8,20901-2106,T05,R5203
G6,9,20901-2106,T05,R5203
G7,1,20901-9203,T08,R6403
G7,10,20901-9203,T08,R6205
G7,14,20901-2408,T13,R6203
G7,15,20901-2408,T13,R6203
G7,16,20901-2408,T13,R6203
G7,2,20901-9203,T08,R6403
G7,21,20000-1402,T17,R5105
G7,22,20000-1402,T17,R5105
G7,26,20901-2406,T18,R6405
G7,27,20901-2406,T18,R6405
G7,28,20901-2406,T18,R6405
G7,3,20901-2408,T13,R6204
G7,33,20901-8503,T18,R6201
G7,34,20901-8503,T18,R6201
G7,37,20001-1003,T15,R5306
G7,38,20001-1003,T15,R5306
G7,39,20001-1003,T15,R5306
G7,4,20901-2408,T13,R6204
G7,40,20901-2408,T13,Rท่าลี่อ
G7,49,20000-2007,T18,Rท่าลี่อ
G7,50,20000-2007,T18,Rท่าลี่อ
G7,51,20000-1208,T16,R6205
G7,52,20000-1208,T16,R6205
G7,55,20901-2407,T13,R5401
G7,56,20901-2407,T13,R5401
G7,57,20901-2407,T13,R5401
G7,58,20901-2407,T13,R5401
