group_id,subject_id,teacher_id,room_id,day,period
G4,30000-1201,T10,R6405,Fri,4
G4,30001-1002,T12,R6404,Fri,11
G5,30000-1404,T11,R5406,Mon,8
G7,20901-2408,T13,R5204,Fri,10
G5,31900-1001,T07,R6203,Thu,3
G3,30000-2002,T13,R5203,Tue,4
G7,20901-8503,T18,R6203,Tue,12
G6,20901-2009,T08,R6204,Tue,2
G2,31901-2009,T04,R6204,Fri,6
G5,30000-1404,T11,R6403,Wed,9
G6,20901-8503,T18,R6201,Mon,9
G6,20901-8503,T18,R5201,Fri,7
G7,20901-2406,T18,R6302,Wed,10
G5,31900-1001,T07,R5401,Tue,4
G3,31901-2005,T03,R6203,Fri,2
G7,20001-1003,T15,R5401,Fri,11
G2,31901-2017,T07,R6405,Thu,12
G1,30000-2004,T07,R6301,Fri,7
G1,30000-2004,T08,R6204,Wed,9
G5,31901-2012,T07,R6405,Mon,12
G7,20000-2007,T18,R6303,Fri,12
G3,30000-2002,T13,R6205,Tue,1
G4,30000-1201,T10,Rท่าลี่อ,Tue,5
G2,30000-1202,T06,R6201,Wed,6
G2,31901-2009,T05,R6204,Fri,5
G6,20901-2106,T05,R10401,Thu,5
G4,30000-1201,T10,R5201,Thu,6
G6,20001-1003,T15,R6204,Mon,7
G3,30000-1201,T10,R6204,Wed,1
G1,31901-2009,T05,R6205,Fri,6
G6,20901-2106,T05,R5406,Wed,6
G1,31901-2006,T03,R6201,Fri,6
G5,31900-0001,T07,Rท่าลี่อ,Tue,7
G1,31901-2006,T03,R5401,Tue,7
G6,20901-2107,T13,R6301,Fri,11
G2,31901-2002,T01,R6303,Thu,10
G6,20901-2007,T18,R5402,Tue,11
G5,30000-1404,T11,R6204,Mon,4
G7,20901-9203,T08,R5401,Fri,4
G6,20901-2007,T18,R6404,Fri,5
G7,20000-1208,T16,R6301,Mon,5
G6,20901-8503,T18,R5105,Fri,4
G5,31900-1001,T07,R6204,Mon,3
G7,20000-2007,T18,R6405,Fri,10
G5,30000-2002,T04,R6203,Fri,12
G2,31901-2013,T08,R6204,Wed,10
G7,20001-1003,T15,R6405,Thu,6
G5,30001-1002,T12,R5101,Mon,12
G1,30001-1001,T09,R6302,Mon,6
G7,20001-1003,T15,R6204,Thu,12
G4,31901-2012,T07,R6402,Mon,4
G7,20000-1208,T16,R5402,Thu,10
G4,31901-2005,T08,R5402,Thu,2
G7,20901-9203,T08,R5201,Wed,7
G6,20901-2106,T05,R6204,Thu,3
G5,31900-0001,T07,R6301,Thu,11
G1,31901-2013,T08,R5401,Thu,1
G7,20000-2007,T18,R6402,Mon,12
G3,30000-1404,T11,R5204,Wed,7
G3,30001-1003,T07,R6404,Tue,9
